/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run xzr85t22
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_022001-xzr85t22
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-150
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/xzr85t22
Using device: cuda
[Episode 0] Steps: 19 | Survival: 2/4 | Mean Reward: 1.06 | Collisions: 10 | Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_021958/collision-10-energy-150/key_models_ep0_kills0
[Key Model Saved] Episode 0: New record of 0 kills!
[Episode 1] Steps: 21 | Survival: 2/4 | Mean Reward: -0.87 | Collisions: 12 | Kills: 6
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_021958/collision-10-energy-150/key_models_ep1_kills6
[Key Model Saved] Episode 1: New record of 6 kills!
[Episode 2] Steps: 16 | Survival: 3/4 | Mean Reward: -0.95 | Collisions: 14 | Kills: 0
[Episode 3] Steps: 15 | Survival: 3/4 | Mean Reward: -0.97 | Collisions: 17 | Kills: 0
[Episode 4] Steps: 15 | Survival: 3/4 | Mean Reward: -1.10 | Collisions: 22 | Kills: 0
[Episode 5] Steps: 15 | Survival: 2/4 | Mean Reward: -1.29 | Collisions: 19 | Kills: 5
[Episode 6] Steps: 15 | Survival: 3/4 | Mean Reward: -1.22 | Collisions: 15 | Kills: 0
[Episode 7] Steps: 16 | Survival: 3/4 | Mean Reward: -1.02 | Collisions: 13 | Kills: 0
[Episode 8] Steps: 16 | Survival: 3/4 | Mean Reward: -1.00 | Collisions: 16 | Kills: 3
[Episode 9] Steps: 15 | Survival: 2/4 | Mean Reward: -1.06 | Collisions: 5 | Kills: 2
[Episode 10] Steps: 15 | Survival: 3/4 | Mean Reward: -0.89 | Collisions: 13 | Kills: 0
[Episode 11] Steps: 16 | Survival: 3/4 | Mean Reward: -1.07 | Collisions: 10 | Kills: 4
[Episode 12] Steps: 15 | Survival: 2/4 | Mean Reward: -1.15 | Collisions: 23 | Kills: 6
[Episode 13] Steps: 16 | Survival: 3/4 | Mean Reward: -0.81 | Collisions: 12 | Kills: 1
[Episode 14] Steps: 19 | Survival: 3/4 | Mean Reward: 1.27 | Collisions: 12 | Kills: 0
[Episode 15] Steps: 17 | Survival: 3/4 | Mean Reward: -0.78 | Collisions: 16 | Kills: 2
[Episode 16] Steps: 15 | Survival: 3/4 | Mean Reward: -0.74 | Collisions: 6 | Kills: 1
[Episode 17] Steps: 15 | Survival: 2/4 | Mean Reward: -1.24 | Collisions: 15 | Kills: 4
[Episode 18] Steps: 15 | Survival: 3/4 | Mean Reward: -0.57 | Collisions: 10 | Kills: 0
[Episode 19] Steps: 15 | Survival: 3/4 | Mean Reward: -0.40 | Collisions: 6 | Kills: 0
[Episode 20] Steps: 17 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 7 | Kills: 1
[Episode 21] Steps: 15 | Survival: 3/4 | Mean Reward: -1.12 | Collisions: 12 | Kills: 0
[Episode 22] Steps: 15 | Survival: 3/4 | Mean Reward: -1.07 | Collisions: 19 | Kills: 0
[Episode 23] Steps: 18 | Survival: 1/4 | Mean Reward: -0.97 | Collisions: 8 | Kills: 3
[Episode 24] Steps: 19 | Survival: 3/4 | Mean Reward: 0.47 | Collisions: 10 | Kills: 0
[Episode 25] Steps: 16 | Survival: 3/4 | Mean Reward: -0.93 | Collisions: 15 | Kills: 2
[Episode 26] Steps: 15 | Survival: 3/4 | Mean Reward: -0.98 | Collisions: 14 | Kills: 2
[Episode 27] Steps: 15 | Survival: 2/4 | Mean Reward: -1.10 | Collisions: 13 | Kills: 0
[Episode 28] Steps: 18 | Survival: 3/4 | Mean Reward: -0.83 | Collisions: 11 | Kills: 0
[Episode 29] Steps: 17 | Survival: 3/4 | Mean Reward: -0.35 | Collisions: 11 | Kills: 0
[Episode 30] Steps: 17 | Survival: 3/4 | Mean Reward: -0.55 | Collisions: 15 | Kills: 0
[Episode 31] Steps: 15 | Survival: 3/4 | Mean Reward: -1.06 | Collisions: 9 | Kills: 0
[Episode 32] Steps: 15 | Survival: 3/4 | Mean Reward: -1.02 | Collisions: 6 | Kills: 0
[Episode 33] Steps: 15 | Survival: 2/4 | Mean Reward: -0.66 | Collisions: 13 | Kills: 0
[Episode 34] Steps: 16 | Survival: 3/4 | Mean Reward: -0.96 | Collisions: 9 | Kills: 2
[Episode 35] Steps: 19 | Survival: 3/4 | Mean Reward: 0.97 | Collisions: 18 | Kills: 0
[Episode 36] Steps: 18 | Survival: 3/4 | Mean Reward: 0.68 | Collisions: 15 | Kills: 1
[Episode 37] Steps: 15 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 2 | Kills: 1
[Episode 38] Steps: 16 | Survival: 3/4 | Mean Reward: -1.14 | Collisions: 9 | Kills: 0
[Episode 39] Steps: 19 | Survival: 3/4 | Mean Reward: 1.18 | Collisions: 15 | Kills: 0
[Episode 40] Steps: 21 | Survival: 2/4 | Mean Reward: -0.27 | Collisions: 13 | Kills: 0
[Episode 41] Steps: 15 | Survival: 3/4 | Mean Reward: -0.61 | Collisions: 11 | Kills: 0
[Episode 42] Steps: 16 | Survival: 3/4 | Mean Reward: -0.92 | Collisions: 20 | Kills: 4
