/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zybglac6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_083119-zybglac6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-0.3
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zybglac6
Using device: cuda
[Episode 0] Steps: 26 | Survival: 2/4 | Mean Reward: 2.94 | Collisions: 28 | Kills: 2
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_081645/collision-10-energy-200-epsilon-0.3/key_models_ep0_kills2
[Key Model Saved] Episode 0: New record of 2 kills!
[Episode 1] Steps: 28 | Survival: 3/4 | Mean Reward: -0.82 | Collisions: 23 | Kills: 1
[Episode 2] Steps: 23 | Survival: 3/4 | Mean Reward: -0.11 | Collisions: 17 | Kills: 0
[Episode 3] Steps: 23 | Survival: 3/4 | Mean Reward: -1.21 | Collisions: 14 | Kills: 0
[Episode 4] Steps: 27 | Survival: 3/4 | Mean Reward: -0.65 | Collisions: 21 | Kills: 0
[Episode 5] Steps: 28 | Survival: 3/4 | Mean Reward: 1.47 | Collisions: 18 | Kills: 0
[Episode 6] Steps: 23 | Survival: 3/4 | Mean Reward: -1.12 | Collisions: 20 | Kills: 0
[Episode 7] Steps: 20 | Survival: 3/4 | Mean Reward: -0.62 | Collisions: 12 | Kills: 0
[Episode 8] Steps: 22 | Survival: 2/4 | Mean Reward: -1.39 | Collisions: 27 | Kills: 6
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_081645/collision-10-energy-200-epsilon-0.3/key_models_ep8_kills6
[Key Model Saved] Episode 8: New record of 6 kills!
[Episode 9] Steps: 27 | Survival: 3/4 | Mean Reward: -0.44 | Collisions: 18 | Kills: 0
[Episode 10] Steps: 20 | Survival: 3/4 | Mean Reward: -1.53 | Collisions: 9 | Kills: 1
[Episode 11] Steps: 26 | Survival: 3/4 | Mean Reward: -0.89 | Collisions: 17 | Kills: 0
[Episode 12] Steps: 25 | Survival: 3/4 | Mean Reward: 0.04 | Collisions: 9 | Kills: 0
[Episode 13] Steps: 22 | Survival: 3/4 | Mean Reward: -1.20 | Collisions: 12 | Kills: 1
[Episode 14] Steps: 23 | Survival: 3/4 | Mean Reward: -0.61 | Collisions: 16 | Kills: 0
[Episode 15] Steps: 23 | Survival: 3/4 | Mean Reward: -0.74 | Collisions: 18 | Kills: 0
[Episode 16] Steps: 24 | Survival: 3/4 | Mean Reward: -0.76 | Collisions: 4 | Kills: 0
[Episode 17] Steps: 22 | Survival: 3/4 | Mean Reward: -0.51 | Collisions: 12 | Kills: 0
[Episode 18] Steps: 25 | Survival: 3/4 | Mean Reward: -0.34 | Collisions: 17 | Kills: 0
[Episode 19] Steps: 22 | Survival: 3/4 | Mean Reward: -1.20 | Collisions: 7 | Kills: 0
[Episode 20] Steps: 24 | Survival: 3/4 | Mean Reward: -0.74 | Collisions: 9 | Kills: 0
[Episode 21] Steps: 22 | Survival: 3/4 | Mean Reward: -0.49 | Collisions: 18 | Kills: 0
[Episode 22] Steps: 32 | Survival: 3/4 | Mean Reward: 2.67 | Collisions: 30 | Kills: 1
[Episode 23] Steps: 26 | Survival: 3/4 | Mean Reward: -0.78 | Collisions: 9 | Kills: 0
[Episode 24] Steps: 21 | Survival: 3/4 | Mean Reward: -1.48 | Collisions: 14 | Kills: 4
[Episode 25] Steps: 22 | Survival: 3/4 | Mean Reward: -1.12 | Collisions: 8 | Kills: 0
[Episode 26] Steps: 20 | Survival: 3/4 | Mean Reward: -0.76 | Collisions: 14 | Kills: 0
