/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run u4hc04e8
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_021856-u4hc04e8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-10-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/u4hc04e8
Using device: cuda
[Episode 0] Steps: 4 | Survival: 2/4 | Mean Reward: -0.59 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-10-collision-50-energy-100-epsilon-decay/key_models_ep0_kills0
[Key Model Saved] Episode 0: New record of 0 kills!
[Episode 1] Steps: 2 | Survival: 3/4 | Mean Reward: -0.37 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 2] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 3] Steps: 3 | Survival: 3/4 | Mean Reward: -0.26 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 4] Steps: 3 | Survival: 2/4 | Mean Reward: -0.53 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-10-collision-50-energy-100-epsilon-decay/key_models_ep4_kills1
[Key Model Saved] Episode 4: New record of 1 kills!
[Episode 5] Steps: 3 | Survival: 3/4 | Mean Reward: -0.40 | Collisions: 3 | Kills: 1 | Immediate Kills: 2
[Episode 6] Steps: 2 | Survival: 3/4 | Mean Reward: 0.07 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 7] Steps: 3 | Survival: 3/4 | Mean Reward: -0.17 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 8] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 9] Steps: 2 | Survival: 3/4 | Mean Reward: -0.33 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 10] Steps: 3 | Survival: 3/4 | Mean Reward: -0.46 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 11] Steps: 2 | Survival: 2/4 | Mean Reward: -0.56 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 12] Steps: 4 | Survival: 2/4 | Mean Reward: -0.10 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 13] Steps: 2 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 14] Steps: 2 | Survival: 3/4 | Mean Reward: -0.27 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 15] Steps: 2 | Survival: 3/4 | Mean Reward: -0.18 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 16] Steps: 4 | Survival: 3/4 | Mean Reward: -0.81 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
