/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zn2f87km
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_052729-zn2f87km
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zn2f87km
Using device: cuda
[Episode 0] Steps: 2 | Survival: 2/4 | Mean Reward: -0.36 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-100-epsilon-decay/key_models_ep0_kills0
[Key Model Saved] Episode 0: New record of 0 kills!
[Episode 1] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 2] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 3] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-100-epsilon-decay/key_models_ep3_kills1
[Key Model Saved] Episode 3: New record of 1 kills!
[Episode 4] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 5] Steps: 2 | Survival: 3/4 | Mean Reward: -0.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 6] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 7] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 8] Steps: 2 | Survival: 3/4 | Mean Reward: -0.34 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 9] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 10] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 11] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 12] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 13] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 14] Steps: 2 | Survival: 2/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 15] Steps: 2 | Survival: 1/4 | Mean Reward: -0.49 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 16] Steps: 3 | Survival: 3/4 | Mean Reward: -0.08 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 17] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 18] Steps: 2 | Survival: 3/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 19] Steps: 2 | Survival: 1/4 | Mean Reward: -0.49 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 20] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 21] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 22] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 23] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 24] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 25] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 26] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 27] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 28] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 29] Steps: 2 | Survival: 2/4 | Mean Reward: -0.36 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 30] Steps: 3 | Survival: 2/4 | Mean Reward: -0.32 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 31] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 32] Steps: 2 | Survival: 3/4 | Mean Reward: -0.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 33] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 34] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 35] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 36] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 37] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 1 | Immediate Kills: 0
[Episode 38] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 39] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 40] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 41] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 42] Steps: 2 | Survival: 2/4 | Mean Reward: -0.60 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 43] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 44] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 45] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 46] Steps: 2 | Survival: 2/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 47] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 48] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 49] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 50] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 51] Steps: 2 | Survival: 2/4 | Mean Reward: -0.23 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 52] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 53] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 54] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 55] Steps: 2 | Survival: 2/4 | Mean Reward: -0.61 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 56] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 57] Steps: 2 | Survival: 1/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 58] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 59] Steps: 2 | Survival: 1/4 | Mean Reward: -0.86 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 60] Steps: 2 | Survival: 1/4 | Mean Reward: -0.74 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 61] Steps: 2 | Survival: 0/4 | Mean Reward: -0.99 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
