/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run 8sg792w6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_081705-8sg792w6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-50-collision-50-energy-150-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/8sg792w6
Using device: cuda
[Episode 0] Steps: 3 | Survival: 3/4 | Mean Reward: -0.72 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-150-epsilon-decay/key_models_ep0_kills0
[Key Model Saved] Episode 0: New record of 0 kills!
[Episode 1] Steps: 3 | Survival: 2/4 | Mean Reward: -0.95 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 2] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-150-epsilon-decay/key_models_ep2_kills1
[Key Model Saved] Episode 2: New record of 1 kills!
[Episode 3] Steps: 3 | Survival: 3/4 | Mean Reward: -0.82 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 4] Steps: 3 | Survival: 2/4 | Mean Reward: -1.10 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
[Episode 5] Steps: 3 | Survival: 2/4 | Mean Reward: -0.84 | Collisions: 3 | Kills: 2 | Immediate Kills: 1
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/high_move_20251119_021852/move-50-collision-50-energy-150-epsilon-decay/key_models_ep5_kills2
[Key Model Saved] Episode 5: New record of 2 kills!
[Episode 6] Steps: 4 | Survival: 3/4 | Mean Reward: -0.94 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 7] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 2 | Kills: 1 | Immediate Kills: 1
[Episode 8] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 9] Steps: 3 | Survival: 2/4 | Mean Reward: -0.85 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 10] Steps: 4 | Survival: 3/4 | Mean Reward: -0.44 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 11] Steps: 3 | Survival: 1/4 | Mean Reward: -1.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 12] Steps: 3 | Survival: 3/4 | Mean Reward: -0.85 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 13] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 14] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 2 | Kills: 1 | Immediate Kills: 0
[Episode 15] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 16] Steps: 3 | Survival: 3/4 | Mean Reward: -0.22 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 17] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 18] Steps: 3 | Survival: 3/4 | Mean Reward: -0.71 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 19] Steps: 5 | Survival: 1/4 | Mean Reward: -0.96 | Collisions: 4 | Kills: 1 | Immediate Kills: 1
[Episode 20] Steps: 3 | Survival: 2/4 | Mean Reward: -1.09 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 21] Steps: 3 | Survival: 1/4 | Mean Reward: -1.23 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 22] Steps: 3 | Survival: 1/4 | Mean Reward: -1.35 | Collisions: 2 | Kills: 2 | Immediate Kills: 0
[Episode 23] Steps: 3 | Survival: 0/4 | Mean Reward: -1.48 | Collisions: 4 | Kills: 1 | Immediate Kills: 0
[Episode 24] Steps: 3 | Survival: 2/4 | Mean Reward: -0.95 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 25] Steps: 3 | Survival: 3/4 | Mean Reward: -0.45 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 26] Steps: 3 | Survival: 3/4 | Mean Reward: -0.82 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
